condition,condition_label,subset_type_pooled,patch_type,layer,n,mean,median,std,ci_lo,ci_hi,n_positive_effect,n_negative_effect,fraction_expected_direction,expected_direction,p_ttest_vs_0,p_wilcoxon_expected_sign,p_perm_rand
closed_context_false_belief_pressure,Closed-Context,control,rescue,35,7,-6.805298571428572,-6.534241,0.9026505628816831,-7.532227285714285,-6.307318857142858,0,7,0.0,positive,1.0303344227950703e-06,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,rescue,35,12,-1.3054040833333334,-2.4897135,2.7548960272694156,-2.5491151375,0.3772731562499987,2,10,0.16666666666666666,positive,0.12895487332743857,0.06396484375,0.12443778110944528
closed_context_false_belief_pressure,Closed-Context,control,transfer,35,7,-5.511102857142857,-5.823418,0.9453953194992784,-6.121199857142856,-4.866792524999999,0,7,1.0,negative,4.69733815924923e-06,0.015625,0.018490754622688656
closed_context_false_belief_pressure,Closed-Context,degraded,transfer,35,12,-9.040456500000001,-8.8246495,1.436896782176121,-9.852335295833335,-8.320349658333335,0,12,1.0,negative,2.1215584809965397e-10,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,8,12,-0.10511941666666667,-0.090754,0.0552978777538825,-0.1376994625,-0.07923705416666671,0,12,0.0,positive,3.942496549748926e-05,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,rescue,8,12,-0.09990975,-0.100238,0.043731397915674854,-0.12177988125,-0.07492002083333336,0,12,0.0,positive,7.236700969659716e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,transfer,8,12,0.12328716666666667,0.1208175,0.05006299868408228,0.09707975416666667,0.1481953375,12,0,0.0,negative,3.5281498081671916e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,8,12,0.11691391666666667,0.12919049999999999,0.03327179386769283,0.09665830625,0.13243334791666664,12,0,0.0,negative,1.0043949411890127e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,20,12,0.4000213333333334,0.3567245,0.5258186349151774,0.11654751666666663,0.68253588125,10,2,0.8333333333333334,positive,0.023184939193502455,0.02099609375,0.01999000499750125
evidence_emotional_pressure,Emotional,degraded,rescue,20,12,0.9820809166666667,0.9896020000000001,1.0750342539661837,0.3953972520833333,1.5682454749999997,11,1,0.9166666666666666,positive,0.009005207178735972,0.02099609375,0.0079960019990005
evidence_emotional_pressure,Emotional,control,transfer,20,12,-0.6995115833333334,-0.737985,0.4066447531518162,-0.9012728000000001,-0.4731483270833334,1,11,0.9166666666666666,negative,9.469149806613971e-05,0.0009765625,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,20,12,-1.4231319166666667,-1.4049245,0.610258000104942,-1.7778541708333335,-1.0982793812500002,0,12,1.0,negative,5.953417155444904e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,28,12,0.8390382500000001,0.991914,0.6579035794139283,0.49099012291666666,1.200719735416666,10,2,0.8333333333333334,positive,0.0010322000425966602,0.00244140625,0.0029985007496251873
evidence_emotional_pressure,Emotional,degraded,rescue,28,12,3.096402666666666,3.129428,1.0823547558321276,2.595358322916667,3.756277706249999,12,0,1.0,positive,8.090491654181963e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,transfer,28,12,-0.8284745833333332,-0.725611,0.4128179046860202,-1.0594753625,-0.6185469145833333,0,12,1.0,negative,2.4165713545839056e-05,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,28,12,-2.753997666666667,-2.5406085000000003,1.0867457314139422,-3.432727175,-2.2821054333333333,0,12,1.0,negative,2.672769134599469e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,30,12,1.08711075,1.085021,0.57920663354252,0.7727370916666666,1.3981866375,12,0,1.0,positive,4.4170574192879955e-05,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,rescue,30,12,3.3375559999999997,3.2615455,1.1091722775872106,2.84728425,4.0309334437499995,12,0,1.0,positive,4.876254090474475e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,transfer,30,12,-0.9322029166666667,-0.7874255,0.4066560334223638,-1.1518134500000001,-0.7248313229166669,0,12,1.0,negative,7.008255157159968e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,30,12,-2.912062166666667,-2.6703335,1.2019440460928916,-3.660488510416667,-2.3985606375,0,12,1.0,negative,4.12936179004333e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,32,12,1.4384378333333334,1.41266,0.5865683742167168,1.1364646229166666,1.7456133583333322,12,0,1.0,positive,3.6746050303234185e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,rescue,32,12,3.638627666666667,3.6861664999999997,1.0974143116181063,3.1424325500000005,4.309042427083333,12,0,1.0,positive,1.8224423885604902e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,transfer,32,12,-1.2354370833333335,-1.1989334999999999,0.45001264902635757,-1.4657248583333333,-0.9883753562500002,0,12,1.0,negative,1.2183503008637455e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,32,12,-3.254239833333333,-3.1576645,1.113418993289738,-3.9405285479166663,-2.7704195125,0,12,1.0,negative,6.531065666016379e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,34,12,1.5755762500000001,1.5671265,0.6911968788700213,1.2196570125000001,1.9743421583333332,12,0,1.0,positive,7.392628536999582e-06,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,rescue,34,12,4.114903083333334,3.982999,1.079861889815752,3.6209502395833324,4.763654643750002,12,0,1.0,positive,4.341370277777354e-08,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,transfer,34,12,-1.7745783333333334,-1.73355,0.5424512859137816,-2.068630754166666,-1.4711210312500003,0,12,1.0,negative,2.0902251658206441e-07,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,34,12,-3.794812,-3.7822375,0.9605066645200618,-4.378851552083333,-3.3580423645833335,0,12,1.0,negative,2.979197186081946e-08,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,control,rescue,35,12,-6.731622416666666,-6.5484045,0.7205689086281325,-7.153371233333332,-6.359610633333333,0,12,0.0,positive,2.921624680477119e-12,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,rescue,35,12,-3.0452631666666665,-3.52605,1.8778973659311256,-3.851003916666666,-1.8683256541666668,1,11,0.08333333333333333,positive,0.00015618272691512707,0.00146484375,0.0014992503748125937
evidence_emotional_pressure,Emotional,control,transfer,35,12,-6.272273083333334,-6.4534825,0.6806937488740917,-6.5982769125,-5.868745652083334,0,12,1.0,negative,3.3936486893794576e-12,0.00048828125,0.0004997501249375312
evidence_emotional_pressure,Emotional,degraded,transfer,35,12,-8.12220525,-8.251127499999999,0.542535644010792,-8.411759799999999,-7.834053727083332,0,12,1.0,negative,1.6859611324056292e-14,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,rescue,8,12,0.00565725,0.0011475,0.03852999219527798,-0.013609531250000001,0.02704070416666662,6,6,0.5,positive,0.621061567146063,0.791015625,0.6571714142928535
evidence_false_belief_pressure,False Belief,degraded,rescue,8,12,0.04440333333333333,0.0365285,0.09893634473128608,-0.0011851312500000017,0.10473424999999997,9,3,0.75,positive,0.14829719139308042,0.12939453125,0.12193903048475763
evidence_false_belief_pressure,False Belief,control,transfer,8,12,0.11003633333333333,0.112454,0.036100298156243764,0.09007570624999998,0.1288358375,12,0,0.0,negative,4.2825342582433376e-07,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,degraded,transfer,8,12,0.08131125,0.0761845,0.03845858795716623,0.06111178541666668,0.10228096666666664,12,0,0.0,negative,1.4966718439939747e-05,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,rescue,20,12,-0.1628255833333333,-0.1335445,0.46215588564868426,-0.4163505833333333,0.07930478541666644,4,8,0.3333333333333333,positive,0.24780682579531765,0.30126953125,0.25837081459270367
evidence_false_belief_pressure,False Belief,degraded,rescue,20,12,0.4779790833333332,0.343755,0.9126324500387436,0.03781072708333334,1.0164120666666665,8,4,0.6666666666666666,positive,0.09697534694594934,0.0771484375,0.07596201899050475
evidence_false_belief_pressure,False Belief,control,transfer,20,12,-0.33183433333333334,-0.510354,0.4263970812569245,-0.5465243770833332,-0.09200463750000006,2,10,0.8333333333333334,negative,0.020810030339164245,0.02099609375,0.02148925537231384
evidence_false_belief_pressure,False Belief,degraded,transfer,20,12,-0.8390048333333335,-0.8149415,0.394616251907835,-1.0779626249999998,-0.6455679333333332,0,12,1.0,negative,1.4209010645784432e-05,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,rescue,28,12,-0.8030634999999999,-0.780796,0.605130702380974,-1.1303778104166666,-0.48699582500000016,1,11,0.08333333333333333,positive,0.0007684608857685199,0.0009765625,0.0009995002498750624
evidence_false_belief_pressure,False Belief,degraded,rescue,28,12,0.9436098333333333,0.693799,1.2732576604700265,0.38533249166666667,1.7186978,10,2,0.8333333333333334,positive,0.026178714765549574,0.00927734375,0.011494252873563218
evidence_false_belief_pressure,False Belief,control,transfer,28,12,0.42141500000000004,0.347084,0.5828014600664932,0.12386480625000003,0.7346419708333329,9,3,0.25,negative,0.029253607849557363,0.02685546875,0.022988505747126436
evidence_false_belief_pressure,False Belief,degraded,transfer,28,12,-1.2564632500000001,-0.97243,1.0345783835481552,-1.8576219770833335,-0.7896965604166677,0,12,1.0,negative,0.001468057602439115,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,rescue,30,12,-0.5826539166666667,-0.5646895000000001,0.5988450657658317,-0.9121152729166665,-0.2724096354166669,3,9,0.25,positive,0.006247342600114248,0.00927734375,0.006496751624187906
evidence_false_belief_pressure,False Belief,degraded,rescue,30,12,1.270184666666667,0.969893,1.1708108519067484,0.7588626125,1.9793840562499998,12,0,1.0,positive,0.0031649711629713885,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,transfer,30,12,0.33254675,0.2479675,0.5715946594742443,0.040757062499999996,0.6434519312499998,9,3,0.25,negative,0.0689619991792326,0.09228515625,0.07296351824087956
evidence_false_belief_pressure,False Belief,degraded,transfer,30,12,-1.4597047499999996,-1.110316,1.0929840098002037,-2.1045739625,-0.9530434041666673,0,12,1.0,negative,0.0007327082448039477,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,rescue,32,12,0.3981249166666667,0.290829,0.5513733635788595,0.11515023333333335,0.6979761583333327,10,2,0.8333333333333334,positive,0.029438749629295973,0.0341796875,0.026486756621689155
evidence_false_belief_pressure,False Belief,degraded,rescue,32,12,2.2508171666666668,1.9840075000000001,1.0934613473157642,1.7723597791666665,2.934104718749998,12,0,1.0,positive,1.915932770436684e-05,0.00048828125,0.0004997501249375312
evidence_false_belief_pressure,False Belief,control,transfer,32,12,-0.4185281666666667,-0.339711,0.4810104302261369,-0.6855365395833333,-0.1686564854166668,2,10,0.8333333333333334,negative,0.011778784912920075,0.01611328125,0.009495252373813094
evidence_false_belief_pressure,False Belief,degraded,transfer,32,12,-2.198033666666667,-1.7376965,1.049297536179353,-2.81808773125,-1.7110178500000002,0,12,1.0,negative,1.630601218689934e-05,0.00048828125,0.0004997501249375312
