anchor,layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm,std_delta_norm
end_of_answer_choices,26,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,27,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,28,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,29,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,30,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,31,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,32,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,33,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,34,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_answer_choices,35,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,0,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,1,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,2,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,3,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,4,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,5,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,false_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,false_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,true_belief_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,6,true_rationale_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,7,authority_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,7,distractor_delta,80,0.0,0.0,0.0,0.0,0.0
end_of_evidence_block,7,emotional_pressure_delta,80,0.0,0.0,0.0,0.0,0.0
