layer_index,family_id,cosine_to_all8_mean_direction,cosine_to_leave_one_out_mean_direction
23,policy_library_checkout_003,0.7838215827941895,0.7098917961120605
23,policy_lunch_pass_001,0.875471830368042,0.8336622714996338
23,policy_rec_center_004,0.7627755403518677,0.692278265953064
23,__summary__,0.831940658390522,0.7761761173605919
24,finance_budget_007,0.888440728187561,0.8489832878112793
24,finance_coupon_006,0.8722795844078064,0.8313280940055847
24,finance_membership_008,0.7873011231422424,0.7158756256103516
24,finance_refund_005,0.8117544651031494,0.7482490539550781
24,policy_lab_access_002,0.8760191202163696,0.8294281959533691
24,policy_library_checkout_003,0.7727664709091187,0.6976857781410217
24,policy_lunch_pass_001,0.8599215149879456,0.8131793141365051
24,policy_rec_center_004,0.769197940826416,0.699343740940094
24,__summary__,0.8297101184725761,0.7730091363191605
25,finance_budget_007,0.883848249912262,0.8416985273361206
25,finance_coupon_006,0.8614913821220398,0.8176113963127136
25,finance_membership_008,0.772602379322052,0.6962427496910095
25,finance_refund_005,0.8382429480552673,0.7826865315437317
25,policy_lab_access_002,0.8811701536178589,0.8365281224250793
25,policy_library_checkout_003,0.7829172611236572,0.7112455368041992
25,policy_lunch_pass_001,0.8652207851409912,0.8211537003517151
25,policy_rec_center_004,0.7725461721420288,0.7056060433387756
25,__summary__,0.8322549164295197,0.7765965759754181
26,finance_budget_007,0.8760709762573242,0.8310092687606812
26,finance_coupon_006,0.8645539283752441,0.8214941024780273
26,finance_membership_008,0.7684462070465088,0.6921840906143188
26,finance_refund_005,0.8245735764503479,0.7621108293533325
26,policy_lab_access_002,0.881179690361023,0.837195873260498
26,policy_library_checkout_003,0.7855055332183838,0.7155527472496033
26,policy_lunch_pass_001,0.862682044506073,0.8176064491271973
26,policy_rec_center_004,0.7806696891784668,0.715437650680542
26,__summary__,0.8304602056741714,0.774073876440525
27,finance_budget_007,0.896859347820282,0.8603681325912476
27,finance_coupon_006,0.8912835121154785,0.8579195737838745
27,finance_membership_008,0.7771912813186646,0.7102149128913879
27,finance_refund_005,0.8613695502281189,0.814030647277832
27,policy_lab_access_002,0.8868283629417419,0.8461812734603882
27,policy_library_checkout_003,0.8211076259613037,0.7631048560142517
27,policy_lunch_pass_001,0.8994868993759155,0.8652942776679993
27,policy_rec_center_004,0.8202060461044312,0.7628099322319031
27,__summary__,0.856791578233242,0.8099904507398605
