analysis_kind,metric_name,layer_index,all_8_families_mean,all_8_families_median,excluding_policy_library_checkout_003_mean,excluding_policy_library_checkout_003_median,policy_library_checkout_003_alone_mean,policy_library_checkout_003_alone_median
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",2,0.64741525426507,0.6757865846157074,0.6427979341575077,0.6718366742134094,0.6797364950180054,0.6797364950180054
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",2,0.3498980086296797,0.3781685382127762,0.346501105598041,0.38266074657440186,0.3736763298511505,0.3736763298511505
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",2,0.8963610157370567,0.8967482149600983,0.8972559656415667,0.8998991250991821,0.8900963664054871,0.8900963664054871
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",2,0.963017649948597,0.9681219458580017,0.9606539692197528,0.9660710096359253,0.9795634150505066,0.9795634150505066
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",3,0.5932412892580032,0.6013047397136688,0.5943103177206857,0.6168513894081116,0.5857580900192261,0.5857580900192261
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",3,0.29275523126125336,0.303293839097023,0.2947479912212917,0.31659209728240967,0.2788059115409851,0.2788059115409851
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",3,0.8730847537517548,0.871377170085907,0.8746190071105957,0.8787553310394287,0.8623449802398682,0.8623449802398682
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",3,0.9563120305538177,0.9597975015640259,0.9535196253231594,0.9593687057495117,0.9758588671684265,0.9758588671684265
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",4,0.5454374887049198,0.5503801703453064,0.5479064881801605,0.5726058483123779,0.5281544923782349,0.5281544923782349
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",4,0.38458435237407684,0.3831441253423691,0.3852739930152893,0.38653138279914856,0.3797568678855896,0.3797568678855896
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",4,0.8630092069506645,0.8691681623458862,0.8621383649962289,0.8692312240600586,0.8691051006317139,0.8691051006317139
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",4,0.9486880823969841,0.9509516954421997,0.9453080381665911,0.9504945278167725,0.9723483920097351,0.9723483920097351
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",5,0.561659462749958,0.5538211762905121,0.5676952004432678,0.5787476301193237,0.5194092988967896,0.5194092988967896
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",5,0.33973050117492676,0.35209789872169495,0.3478726829801287,0.36336660385131836,0.2827352285385132,0.2827352285385132
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",5,0.8418274000287056,0.8436975479125977,0.8400282604353768,0.8430924415588379,0.8544213771820068,0.8544213771820068
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",5,0.9510652273893356,0.9519713819026947,0.9476579768317086,0.9487336874008179,0.9749159812927246,0.9749159812927246
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",6,0.54769491776824,0.5393955409526825,0.5555817229407174,0.5475573539733887,0.4924872815608978,0.4924872815608978
delta_cosine,"cosine(false_pressure_delta, distractor_delta)",6,0.3441401980817318,0.35593074560165405,0.349153003522328,0.3660685420036316,0.3090505599975586,0.3090505599975586
delta_cosine,"cosine(false_pressure_delta, emotional_pressure_delta)",6,0.7907230332493782,0.7923408448696136,0.7860650505338397,0.7919039726257324,0.8233289122581482,0.8233289122581482
delta_cosine,"cosine(false_pressure_delta, true_pressure_delta)",6,0.9530013278126717,0.953893631696701,0.9500048245702472,0.9530178308486938,0.9739768505096436,0.9739768505096436
delta_cosine,"cosine(false_pressure_delta, closed_context_delta)",7,0.5810736492276192,0.5944445729255676,0.5918894239834377,0.5974037647247314,0.5053632259368896,0.5053632259368896
