condition,layer,layer_bucket,n_families,pearson_r,spearman_rho,r2,mse,mae,baseline_mse,absolute_mse_improvement,relative_mse_improvement,mean_alpha_used,alpha_values_used_json
closed_context_delta,24,late,36,0.563996574323318,0.75006435006435,0.2772847093143823,4.301910727669739,1.239785525533888,6.297425870462713,1.995515142792974,0.3168779091394609,1.0,"{""1.0"": 36}"
closed_context_delta,25,late,36,0.5889205315971693,0.7812097812097812,0.3208862807061522,4.0423755135530275,1.2126295400990381,6.297425870462713,2.2550503569096856,0.35809081413514,1.0,"{""1.0"": 36}"
closed_context_delta,26,late,36,0.5973874619073639,0.7626769626769627,0.32842207900074327,3.9975192168302858,1.2322049306498633,6.297425870462713,2.2999066536324273,0.36521377161736057,1.0,"{""1.0"": 36}"
closed_context_delta,27,late,36,0.608618663410694,0.7832689832689833,0.3452298838950435,3.897471968466721,1.2076371610164642,6.297425870462713,2.399953901995992,0.3811007785343969,1.0,"{""1.0"": 36}"
closed_context_delta,28,late,36,0.6299698576569255,0.8015444015444015,0.3794689636403713,3.693666311716007,1.1693535380893283,6.297425870462713,2.603759558746706,0.4134641061769879,1.0,"{""1.0"": 36}"
closed_context_delta,29,late,36,0.6707307551700944,0.8463320463320463,0.4382665290672456,3.343678037314374,1.0862237016359966,6.297425870462713,2.953747833148339,0.46904050859931884,1.0,"{""1.0"": 36}"
closed_context_delta,30,late,36,0.7107780717554844,0.8833976833976834,0.4980737588502029,2.9876798085354666,1.0072500341468387,6.297425870462713,3.3097460619272465,0.5255712619740703,1.0,"{""1.0"": 36}"
closed_context_delta,31,late,36,0.8051498504658902,0.9057915057915058,0.6338314778162912,2.1795917618163365,0.894957141743766,6.297425870462713,4.117834108646377,0.6538916365749633,1.0,"{""1.0"": 36}"
closed_context_delta,32,late,36,0.8394827685956817,0.9261261261261261,0.683423606617699,1.8843981860773131,0.8045407368077172,6.297425870462713,4.4130276843853995,0.7007669125704445,1.0,"{""1.0"": 36}"
closed_context_delta,33,late,36,0.8473042215683715,0.9225225225225225,0.6920149377600874,1.833258906083193,0.8172209295961592,6.297425870462713,4.46416696437952,0.7088875766395497,1.0,"{""1.0"": 36}"
closed_context_delta,34,late,36,0.8854393087203648,0.9305019305019305,0.7492051244198009,1.4928384380515034,0.7615327537059784,6.297425870462713,4.80458743241121,0.7629446588560137,1.0,"{""1.0"": 36}"
closed_context_delta,35,late,36,0.913719652571531,0.9523809523809523,0.7936002031163305,1.2285799288408255,0.6241576108667586,6.297425870462713,5.068845941621888,0.8049075996903233,1.0,"{""1.0"": 36}"
distractor_delta,0,early,36,-0.0711981050436554,-0.05432543949368983,-0.7661728591085613,1.1379450304568086,0.8481228682729933,0.6816430234291556,-0.456302007027653,-0.6694149156432718,1.0,"{""1.0"": 36}"
distractor_delta,1,early,36,0.357239698358955,0.29814625087058205,0.0818192829192339,0.5915837618468939,0.6088313543134265,0.6816430234291556,0.09005926158226174,0.13212085869990828,1.0,"{""1.0"": 36}"
distractor_delta,2,early,36,0.37397622152454146,0.37705974473226894,0.11701531354672212,0.5689069621566468,0.5992341058121787,0.6816430234291556,0.11273606127250879,0.1653887113893797,1.0,"{""1.0"": 36}"
distractor_delta,3,early,36,0.39119266275027614,0.3178424410187682,0.14109078261289076,0.553395139382068,0.6103494225276841,0.6816430234291556,0.12824788404708765,0.18814523091853616,1.0,"{""1.0"": 36}"
distractor_delta,4,early,36,0.34114351364746975,0.2539907396233413,0.05882287008726006,0.6064003487769445,0.6293305622206794,0.6816430234291556,0.07524267465221113,0.11038428043125308,1.0,"{""1.0"": 36}"
distractor_delta,5,early,36,0.4315550929676382,0.3567198882393709,0.12526857370556266,0.5635893873029827,0.5879230929745568,0.6816430234291556,0.11805363612617292,0.17318982527287974,1.0,"{""1.0"": 36}"
distractor_delta,6,early,36,0.380683651953384,0.36238415207283614,0.023255815472135732,0.6293161991924552,0.6209393764535586,0.6816430234291556,0.05232682423670043,0.07676572991748495,1.0,"{""1.0"": 36}"
distractor_delta,7,early,36,0.3717939276719588,0.4326725169153827,-0.0607336128015008,0.6834305810447121,0.6202886270152198,0.6816430234291556,-0.0017875576155564898,-0.002622424867731774,1.0,"{""1.0"": 36}"
distractor_delta,8,early,36,0.4350966173575698,0.36740474956158947,0.07928492660819209,0.5932166474133794,0.6216687079932954,0.6816430234291556,0.08842637601577619,0.1297253444639216,1.0,"{""1.0"": 36}"
distractor_delta,9,early,36,0.447821620722671,0.45339857321510796,0.10488751669647811,0.5767209006876073,0.6019485336210992,0.6816430234291556,0.10492212274154833,0.1539253232780326,1.0,"{""1.0"": 36}"
distractor_delta,10,early,36,0.4039061390678264,0.4385942472867328,0.020171966600411873,0.6313031227714014,0.604045509464211,0.6816430234291556,0.05033990065775418,0.07385082649934302,1.0,"{""1.0"": 36}"
