delta_type,behavior_delta_name,sensitivity_threshold,layer_index,layer_bucket,high_sensitivity_n,low_sensitivity_n,high_sensitivity_mean_behavior_delta,low_sensitivity_mean_behavior_delta,high_sensitivity_mean_delta_norm,high_sensitivity_std_delta_norm,low_sensitivity_mean_delta_norm,low_sensitivity_std_delta_norm,mean_delta_norm_gap_high_minus_low,abs_mean_delta_norm_gap,separation_rank_by_abs_gap,is_top3_separation_layer,top3_separating_layers,high_sensitivity_has_any_flip,low_sensitivity_has_any_flip,high_sensitivity_flip_family_ids,low_sensitivity_flip_family_ids
emotional_pressure_delta,delta_emotional_pressure,0.90625,26,late,18,18,-2.115451388888889,0.16927083333333334,35.25749344295926,2.655811475684812,32.918785942925346,1.7897279684787828,2.3387075000339124,2.3387075000339124,11,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,27,late,18,18,-2.115451388888889,0.16927083333333334,38.40774260626899,3.0293348908634625,35.67796368069119,2.090072292911414,2.729778925577797,2.729778925577797,8,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,28,late,18,18,-2.115451388888889,0.16927083333333334,42.930887858072914,3.332039048003682,39.54197523328993,2.419505140454439,3.388912624782982,3.388912624782982,7,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,29,late,18,18,-2.115451388888889,0.16927083333333334,46.359920501708984,3.6128651604521864,42.86530007256402,2.8608664036350615,3.494620429144966,3.494620429144966,6,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,30,late,18,18,-2.115451388888889,0.16927083333333334,52.409095976087784,4.216205721384968,48.08380317687988,3.198930157535298,4.325292799207901,4.325292799207901,5,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,31,late,18,18,-2.115451388888889,0.16927083333333334,59.94486533270942,4.871733048634847,55.042030546400284,3.8009355238007,4.9028347863091355,4.9028347863091355,4,False,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,32,late,18,18,-2.115451388888889,0.16927083333333334,69.54507700602214,5.135110965481344,64.02997652689616,4.36176773178998,5.515100479125977,5.515100479125977,3,True,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,33,late,18,18,-2.115451388888889,0.16927083333333334,78.00292502509222,5.5092542227372014,72.06392245822482,4.9941576608833955,5.939002566867401,5.939002566867401,1,True,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,34,late,18,18,-2.115451388888889,0.16927083333333334,95.76526811387804,6.272337546018957,90.05230543348524,5.641751176091299,5.712962680392792,5.712962680392792,2,True,"33,34,32",True,False,logic_tournament_036,
emotional_pressure_delta,delta_emotional_pressure,0.90625,35,late,18,18,-2.115451388888889,0.16927083333333334,43.27763260735406,3.5655434153077823,43.10407596164279,3.079425516764063,0.1735566457112654,0.1735566457112654,17,False,"33,34,32",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,0,early,18,18,-3.6753472222222223,-0.2222222222222222,0.11526076330078973,0.011772833522364799,0.11916395111216439,0.02200167705396539,-0.0039031878113746643,0.0039031878113746643,33,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,1,early,18,18,-3.6753472222222223,-0.2222222222222222,0.31140727135870194,0.0227374483869482,0.30918723675939774,0.02827514361301941,0.0022200345993041992,0.0022200345993041992,35,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,2,early,18,18,-3.6753472222222223,-0.2222222222222222,0.6131673885716332,0.04370021635700692,0.6157176262802548,0.043465626502066056,-0.0025502377086216166,0.0025502377086216166,34,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,3,early,18,18,-3.6753472222222223,-0.2222222222222222,1.0480948951509264,0.09138562297732666,1.0969417426321242,0.08966000720850714,-0.04884684748119783,0.04884684748119783,27,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,4,early,18,18,-3.6753472222222223,-0.2222222222222222,1.2989093859990437,0.1105960086347034,1.3448682758543227,0.10053128546299082,-0.04595888985527896,0.04595888985527896,28,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,5,early,18,18,-3.6753472222222223,-0.2222222222222222,1.5200748311148748,0.12107693948056884,1.5730881757206387,0.12721742885294837,-0.0530133446057639,0.0530133446057639,26,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,6,early,18,18,-3.6753472222222223,-0.2222222222222222,1.9522949854532878,0.14984843546094245,2.0117381082640753,0.1510844570522539,-0.05944312281078745,0.05944312281078745,25,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,7,early,18,18,-3.6753472222222223,-0.2222222222222222,2.479821893903944,0.16737167327849356,2.543420592943827,0.16303084540054713,-0.06359869903988313,0.06359869903988313,24,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,8,early,18,18,-3.6753472222222223,-0.2222222222222222,3.536238511403402,0.19040696710625143,3.5648978418774075,0.18453874549008886,-0.028659330474005706,0.028659330474005706,31,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,9,early,18,18,-3.6753472222222223,-0.2222222222222222,4.659831417931451,0.228113020259455,4.630762338638306,0.2298452431841021,0.029069079293145172,0.029069079293145172,30,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,10,early,18,18,-3.6753472222222223,-0.2222222222222222,5.359387742148505,0.2314925607379299,5.36010922325982,0.28910366405667887,-0.000721481111314759,0.000721481111314759,36,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,11,early,18,18,-3.6753472222222223,-0.2222222222222222,5.299874173270331,0.2216337417145986,5.278074661890666,0.2539348258495637,0.021799511379665404,0.021799511379665404,32,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,12,middle,18,18,-3.6753472222222223,-0.2222222222222222,6.7327878210279675,0.369015654172743,6.702013068728977,0.36400005497496557,0.030774752298990293,0.030774752298990293,29,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,13,middle,18,18,-3.6753472222222223,-0.2222222222222222,7.662838909361097,0.4163926114615069,7.545146465301514,0.398984534155738,0.11769244405958368,0.11769244405958368,23,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,14,middle,18,18,-3.6753472222222223,-0.2222222222222222,7.894140428966946,0.42855150076874055,7.761907339096069,0.3939963716007508,0.13223308987087634,0.13223308987087634,22,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,15,middle,18,18,-3.6753472222222223,-0.2222222222222222,8.77134527100457,0.509661835654668,8.575230280558268,0.485516207185574,0.19611499044630243,0.19611499044630243,20,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,16,middle,18,18,-3.6753472222222223,-0.2222222222222222,8.755092514885796,0.5433428535505835,8.582122219933403,0.4290856703741968,0.17297029495239258,0.17297029495239258,21,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,17,middle,18,18,-3.6753472222222223,-0.2222222222222222,10.156213336520725,0.6063637519321443,9.858613597022163,0.5212635759734099,0.2975997394985619,0.2975997394985619,18,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,18,middle,18,18,-3.6753472222222223,-0.2222222222222222,12.350422223409018,0.767702065017108,11.987110402848986,0.6100998666564091,0.36331182056003186,0.36331182056003186,17,False,"32,31,33",True,False,logic_tournament_036,
closed_context_delta,delta_closed_context,1.3828125,19,middle,18,18,-3.6753472222222223,-0.2222222222222222,15.312760723961723,1.0053426292993772,14.89398839738634,1.3274135367529725,0.4187723265753842,0.4187723265753842,16,False,"32,31,33",True,False,logic_tournament_036,
