layer_index,hidden_metric,behavior_metric,scope_type,scope_label,excluded_family_id,n_families,pearson_correlation,spearman_correlation,mean_hidden_metric,mean_abs_behavior_metric
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.3355546531315673,-0.03571428571428571,0.6723182541983468,1.4335929325648717
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,-0.49863488746914353,-0.39285714285714285,0.6767065439905439,1.6573570796421595
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.23469776876468992,0.35714285714285715,0.677031397819519,0.8234263828822544
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.33949292036053874,-0.07142857142857142,0.6706405452319554,1.5564016614641463
1,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.34674231020279966,-0.07142857142857142,0.6599765930856977,1.5694231305803572
2,false_pressure_delta_norm,abs(delta_false_pressure),all_8_families,all 8 families,,8,0.2563979201807494,0.14285714285714285,1.119471937417984,1.9050791263580322
2,false_pressure_delta_norm,abs(delta_false_pressure),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.248406778502814,0.03571428571428571,1.1177878890718733,1.5190879276820592
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.21845641473521818,0.0,1.1161621638706751,1.7839832305908203
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,0.16880144305536948,0.17857142857142858,1.1240940945489066,2.0934527260916576
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,0.11031392862918116,0.0,1.1119124378476823,1.7230499812534876
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.23609290625705173,0.03571428571428571,1.1210190909249442,2.1618268149239674
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.20286390911220367,0.14285714285714285,1.1269404547555106,1.9973817552839006
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.248406778502814,0.03571428571428571,1.1177878890718733,1.5190879276820592
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,0.5653751446832826,0.5714285714285714,1.1118295192718506,2.11352048601423
2,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,0.33780557728397614,0.14285714285714285,1.1260298490524292,1.848330089024135
2,closed_context_delta_norm,abs(delta_closed_context),all_8_families,all 8 families,,8,-0.010933511491500259,0.023809523809523808,1.8692239969968796,3.560102939605713
2,closed_context_delta_norm,abs(delta_closed_context),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,-0.060387192413115943,0.10714285714285714,1.8483139617102486,3.5268096923828125
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.1081571499530327,0.42857142857142855,1.8830634355545044,3.4392978123256137
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.038685076622262456,-0.03571428571428571,1.8699222632816859,3.804459435599191
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.08434189329272264,-0.14285714285714285,1.8528956856046404,3.4951719556535994
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.02606770406893515,-0.07142857142857142,1.8568318230765206,3.5418578556605746
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.2542024990664045,0.10714285714285714,1.9129294157028198,3.5048697335379466
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,-0.060387192413115943,0.10714285714285714,1.8483139617102486,3.5268096923828125
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.06388365258878419,-0.03571428571428571,1.8758733783449446,3.672877175467355
2,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.0787469584732484,-0.14285714285714285,1.853962012699672,3.4954798562186107
2,distractor_delta_norm,abs(delta_distractor),all_8_families,all 8 families,,8,-0.28622886084571886,0.0,1.0258575975894928,1.4745821952819824
2,distractor_delta_norm,abs(delta_distractor),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.5632235061208407,0.25,1.034413525036403,0.8234263828822544
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,-0.32064159982898555,-0.14285714285714285,1.0279009342193604,1.632464817592076
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.3044741647798359,0.14285714285714285,1.0285749776022775,1.5436771937779017
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.24245442572402198,0.10714285714285714,1.0155786105564661,1.5803143637520927
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.33090882337135663,-0.03571428571428571,1.0186058282852173,1.4335929325648717
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,-0.5716175354705693,-0.5,1.037671480860029,1.6573570796421595
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.5632235061208407,0.25,1.034413525036403,0.8234263828822544
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.297236074824951,0.03571428571428571,1.027203951563154,1.5564016614641463
2,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.25200747754324265,0.10714285714285714,1.016911472593035,1.5694231305803572
3,false_pressure_delta_norm,abs(delta_false_pressure),all_8_families,all 8 families,,8,0.5261419125468402,0.38095238095238093,1.593383178114891,1.9050791263580322
3,false_pressure_delta_norm,abs(delta_false_pressure),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.2749861212824,0.07142857142857142,1.5811122485569544,1.5190879276820592
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.4953443535554343,0.2857142857142857,1.586344497544425,1.7839832305908203
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,0.5265920250024105,0.42857142857142855,1.595715778214591,2.0934527260916576
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,0.492155283628528,0.2857142857142857,1.5880714995520455,1.7230499812534876
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.474747330388345,0.32142857142857145,1.5995628663471766,2.1618268149239674
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.5682618590441223,0.4642857142857143,1.6094776902879988,1.9973817552839006
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.2749861212824,0.07142857142857142,1.5811122485569544,1.5190879276820592
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,0.7403022029715498,0.6785714285714286,1.5855697563716344,2.11352048601423
3,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,0.5953010002379298,0.4642857142857143,1.601211088044303,1.848330089024135
3,closed_context_delta_norm,abs(delta_closed_context),all_8_families,all 8 families,,8,0.011911305833172943,0.0,2.5782302618026733,3.560102939605713
3,closed_context_delta_norm,abs(delta_closed_context),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,-0.047346551607337896,0.07142857142857142,2.5543278626033237,3.5268096923828125
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.14034805126019892,0.39285714285714285,2.5919796398707797,3.4392978123256137
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.04765855328954509,-0.07142857142857142,2.5805937562670027,3.804459435599191
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.049857912618797885,-0.14285714285714285,2.5647257396153043,3.4951719556535994
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.006662144035153429,-0.10714285714285714,2.5739078521728516,3.5418578556605746
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.26144751415769296,0.07142857142857142,2.6178936617715016,3.5048697335379466
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,-0.047346551607337896,0.07142857142857142,2.5543278626033237,3.5268096923828125
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.024927543250133452,-0.07142857142857142,2.5828414303915843,3.672877175467355
3,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.0760067886753405,-0.14285714285714285,2.559572151729039,3.4954798562186107
3,distractor_delta_norm,abs(delta_distractor),all_8_families,all 8 families,,8,-0.2921136797076188,-0.5952380952380952,1.421895146369934,1.4745821952819824
3,distractor_delta_norm,abs(delta_distractor),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,-0.18997315901839318,-0.5714285714285714,1.4278169018881661,0.8234263828822544
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,-0.32460071289511483,-0.5714285714285714,1.4240711075919015,1.632464817592076
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.34307402867194864,-0.6071428571428571,1.4291473286492484,1.5436771937779017
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.3425098003725628,-0.5714285714285714,1.401111466544015,1.5803143637520927
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.28756771930515096,-0.5714285714285714,1.4245416947773524,1.4335929325648717
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,-0.2961787564065935,-0.5714285714285714,1.4212793282100133,1.6573570796421595
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,-0.18997315901839318,-0.5714285714285714,1.4278169018881661,0.8234263828822544
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,-0.35863063389283434,-0.6071428571428571,1.4299099785940987,1.5564016614641463
3,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,-0.2721805694435219,-0.5714285714285714,1.417283364704677,1.5694231305803572
4,false_pressure_delta_norm,abs(delta_false_pressure),all_8_families,all 8 families,,8,0.6767006297956457,0.5238095238095238,1.6464576870203018,1.9050791263580322
4,false_pressure_delta_norm,abs(delta_false_pressure),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.2996603998157494,0.2857142857142857,1.6316608020237513,1.5190879276820592
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.6640218714608187,0.5,1.6430455446243286,1.7839832305908203
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,0.6657780774769095,0.5714285714285714,1.6498309203556605,2.0934527260916576
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,0.7021613477159171,0.5,1.6456575904573714,1.7230499812534876
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.5983326111325263,0.2857142857142857,1.6545177357537406,2.1618268149239674
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.667788048553449,0.5714285714285714,1.6526247944150652,1.9973817552839006
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.2996603998157494,0.2857142857142857,1.6316608020237513,1.5190879276820592
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,0.8656247429272512,0.8214285714285714,1.6415056501116072,2.11352048601423
4,false_pressure_delta_norm,abs(delta_false_pressure),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,0.7586757197429431,0.5714285714285714,1.6528184584208898,1.848330089024135
4,closed_context_delta_norm,abs(delta_closed_context),all_8_families,all 8 families,,8,0.11692562730664885,-0.09523809523809523,2.7277603447437286,3.560102939605713
4,closed_context_delta_norm,abs(delta_closed_context),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,0.05137507038673604,-0.07142857142857142,2.7071922506604875,3.5268096923828125
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,0.4308610919931173,0.35714285714285715,2.7427513939993724,3.4392978123256137
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.015097881251010874,-0.21428571428571427,2.7320495332990373,3.804459435599191
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,0.1119547507792466,-0.10714285714285714,2.72675929750715,3.4951719556535994
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,0.10579880621611405,-0.14285714285714285,2.721280608858381,3.5418578556605746
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,0.1830978069979595,-0.03571428571428571,2.7360851083483015,3.5048697335379466
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,0.05137507038673604,-0.07142857142857142,2.7071922506604875,3.5268096923828125
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_lunch_pass_001,policy_lunch_pass_001,7,0.0032097240927323966,-0.32142857142857145,2.7362210750579834,3.672877175467355
4,closed_context_delta_norm,abs(delta_closed_context),leave_one_family_out,leave out policy_rec_center_004,policy_rec_center_004,7,0.058747336481634146,-0.21428571428571427,2.719743490219116,3.4954798562186107
4,distractor_delta_norm,abs(delta_distractor),all_8_families,all 8 families,,8,-0.6178438719296356,-0.6904761904761905,1.5509458631277084,1.4745821952819824
4,distractor_delta_norm,abs(delta_distractor),excluding_policy_library_checkout_003,excluding policy_library_checkout_003,policy_library_checkout_003,7,-0.5230162706313066,-0.5357142857142857,1.565529499735151,0.8234263828822544
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_budget_007,finance_budget_007,7,-0.5968869708733158,-0.6071428571428571,1.5447805098124914,1.632464817592076
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_coupon_006,finance_coupon_006,7,-0.6403757395288715,-0.75,1.5546130963734217,1.5436771937779017
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_membership_008,finance_membership_008,7,-0.6579395097993108,-0.6428571428571429,1.5345762116568429,1.5803143637520927
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out finance_refund_005,finance_refund_005,7,-0.6161739722028193,-0.75,1.552983215876988,1.4335929325648717
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_lab_access_002,policy_lab_access_002,7,-0.5794157879789071,-0.6071428571428571,1.536534377506801,1.6573570796421595
4,distractor_delta_norm,abs(delta_distractor),leave_one_family_out,leave out policy_library_checkout_003,policy_library_checkout_003,7,-0.5230162706313066,-0.5357142857142857,1.565529499735151,0.8234263828822544
