layer_index,layer_bucket,delta_type,n_families,mean_cosine_to_leave_one_out_mean_direction,median_cosine_to_leave_one_out_mean_direction,std_cosine_to_leave_one_out_mean_direction,min_cosine_to_leave_one_out_mean_direction,max_cosine_to_leave_one_out_mean_direction
25,late,emotional_pressure_delta,36,0.8396418144305547,0.8682954609394073,0.08088714205766415,0.602326512336731,0.9218044877052307
25,late,closed_context_delta,36,0.7638435926702287,0.7991692125797272,0.1064159686434606,0.4149259328842163,0.8717740774154663
26,late,false_pressure_delta,36,0.758834071457386,0.7839047312736511,0.09031872379348867,0.4559778571128845,0.8699346780776978
26,late,emotional_pressure_delta,36,0.8440361536211438,0.8715132474899292,0.07810971287700079,0.6136147975921631,0.9272167086601257
26,late,closed_context_delta,36,0.7641513985064294,0.8037325143814087,0.10980211920273165,0.4107026159763336,0.872532069683075
27,late,false_pressure_delta,36,0.7600733927554555,0.7856966853141785,0.09092226144581587,0.44696685671806335,0.873443603515625
27,late,emotional_pressure_delta,36,0.8435757011175156,0.8704271912574768,0.07987900471779642,0.5918962359428406,0.9260652661323547
27,late,closed_context_delta,36,0.7633569050166342,0.8002618849277496,0.11166721290167643,0.3971005380153656,0.8794765472412109
28,late,false_pressure_delta,36,0.7706375461485651,0.7966721951961517,0.08929740352491634,0.48032113909721375,0.8815447688102722
28,late,emotional_pressure_delta,36,0.8535604940520393,0.876890242099762,0.07745887886918858,0.5836058855056763,0.9318893551826477
28,late,closed_context_delta,36,0.7678280199567477,0.806131899356842,0.11217033851667893,0.3656023442745209,0.8849197030067444
29,late,false_pressure_delta,36,0.7745954948994849,0.7950979769229889,0.08960597989657836,0.48103228211402893,0.8797026872634888
29,late,emotional_pressure_delta,36,0.8560652169916365,0.8784182071685791,0.08078927404791139,0.5418028235435486,0.9331474304199219
29,late,closed_context_delta,36,0.7678324687812064,0.8031338453292847,0.11265106714664734,0.3487829864025116,0.8805620074272156
30,late,false_pressure_delta,36,0.7787519900335206,0.8024471700191498,0.09014213096786859,0.47690263390541077,0.8840848207473755
30,late,emotional_pressure_delta,36,0.85912357767423,0.8801820874214172,0.08025158344428635,0.5291605591773987,0.9352380037307739
30,late,closed_context_delta,36,0.7683556369609303,0.8037838935852051,0.1150198391363393,0.32835653424263,0.8805209994316101
31,late,false_pressure_delta,36,0.7875673199693362,0.8074978888034821,0.08884798876114273,0.473768025636673,0.8901216387748718
31,late,emotional_pressure_delta,36,0.8694029268291261,0.8898381590843201,0.07881779234904808,0.5181441307067871,0.9393730163574219
31,late,closed_context_delta,36,0.7761547788977623,0.816273421049118,0.11500146459973332,0.3105611503124237,0.8870671391487122
32,late,false_pressure_delta,36,0.804604086611006,0.8174075186252594,0.08219386667270127,0.5183329582214355,0.8966941237449646
