delta_type,behavior_delta_name,behavior_metric,layer_index,layer_bucket,n_families,projection_mean,projection_median,projection_std,projection_min,projection_max,degradation_mean,degradation_std,pearson_correlation,spearman_correlation
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,18,middle,36,-0.22903137074576485,-0.23586198687553406,0.8787260644983458,-3.242227554321289,1.5546886920928955,0.9730902777777778,1.5761109049593773,0.16104465274938137,0.16576576576576577
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,19,middle,36,-0.17683597116006744,0.01589389145374298,1.1133888984452536,-3.221588373184204,1.930785894393921,0.9730902777777778,1.5761109049593773,0.11871691293793593,0.027541827541827543
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,20,middle,36,0.13792344762219322,0.39977316558361053,0.9343652950336281,-1.6583266258239746,1.9166901111602783,0.9730902777777778,1.5761109049593773,0.4422121346604209,0.4643500643500644
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,21,middle,36,0.12516750312513775,0.384557843208313,1.1457462397578557,-2.86959171295166,2.424095630645752,0.9730902777777778,1.5761109049593773,0.05863303160320397,-0.0416988416988417
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,22,middle,36,0.08222828639878167,0.23784992098808289,1.0718176192201099,-2.2356696128845215,2.4824717044830322,0.9730902777777778,1.5761109049593773,0.08316606459630058,-0.054826254826254826
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,23,middle,36,0.4632696521778901,0.37584708631038666,0.9521236924316334,-1.36313796043396,2.6450324058532715,0.9730902777777778,1.5761109049593773,0.2722066358427987,0.3232947232947233
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,24,late,36,0.16082483405868211,0.069851815700531,1.0642630507589372,-2.1796114444732666,3.357431411743164,0.9730902777777778,1.5761109049593773,0.3674264277466032,0.14002574002574003
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,25,late,36,0.0013173412945535448,0.13161228597164154,1.3010787873211793,-2.4044198989868164,3.2428221702575684,0.9730902777777778,1.5761109049593773,-0.1566910886851831,-0.10682110682110682
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,26,late,36,-0.0811372920870781,-0.18969368934631348,1.2366773443256045,-2.916354179382324,2.290196418762207,0.9730902777777778,1.5761109049593773,0.01338391617853166,0.033204633204633204
emotional_pressure_delta,delta_emotional_pressure,-delta_emotional_pressure,27,late,36,0.14457611491282782,0.16377130895853043,1.3250273015121805,-3.4835147857666016,2.7547667026519775,0.9730902777777778,1.5761109049593773,-0.2578814784244714,-0.22316602316602316
