layer_index,delta_type,n_families,mean_delta_norm,median_delta_norm,min_delta_norm,max_delta_norm
23,closed_context_delta,36,25.428849962022568,24.33993625640869,20.319339752197266,37.24576187133789
23,distractor_delta,36,13.675006945927938,13.391628742218018,11.634709358215332,18.99274444580078
23,emotional_pressure_delta,36,25.329638534122044,25.14094638824463,21.021453857421875,30.388050079345703
23,false_pressure_delta,36,21.105141639709473,20.2375431060791,16.8225040435791,29.12411117553711
23,true_pressure_delta,36,21.943901697794598,21.575927734375,17.5858211517334,29.62057876586914
24,closed_context_delta,36,29.850228998396133,28.943943977355957,24.47325897216797,41.68971633911133
24,distractor_delta,36,16.324831167856853,15.620492458343506,14.404528617858887,25.65431785583496
24,emotional_pressure_delta,36,28.956501377953423,28.29051685333252,25.23835563659668,34.422359466552734
24,false_pressure_delta,36,25.111867427825928,24.654420852661133,19.65312385559082,36.69527816772461
24,true_pressure_delta,36,26.091516706678604,25.69106388092041,21.017942428588867,35.76091384887695
25,closed_context_delta,36,30.08498165342543,28.8347110748291,24.044918060302734,41.91057586669922
25,distractor_delta,36,16.754719548755222,16.025793075561523,14.702091217041016,25.72216033935547
25,emotional_pressure_delta,36,30.600732856326633,30.116337776184082,26.926410675048828,36.20619583129883
25,false_pressure_delta,36,24.95837926864624,24.232940673828125,20.025049209594727,37.986454010009766
25,true_pressure_delta,36,26.648722489674885,26.250164031982422,21.339094161987305,35.47661209106445
26,closed_context_delta,36,32.85598251554701,31.627718925476074,26.83820915222168,44.077850341796875
26,distractor_delta,36,18.226046562194824,17.363826751708984,16.018558502197266,27.624332427978516
26,emotional_pressure_delta,36,34.0881396929423,33.46529579162598,30.179916381835938,40.13300323486328
26,false_pressure_delta,36,27.30840852525499,26.534372329711914,22.18857765197754,41.89006805419922
26,true_pressure_delta,36,29.530084239112007,29.351741790771484,23.917827606201172,38.273677825927734
27,closed_context_delta,36,35.48905642827352,33.898014068603516,29.566936492919922,47.847496032714844
27,distractor_delta,36,19.69572687149048,18.873356819152832,17.180213928222656,29.713943481445312
27,emotional_pressure_delta,36,37.04285314348009,36.34451866149902,32.36445999145508,44.2451171875
27,false_pressure_delta,36,29.46509419547187,28.25771427154541,23.53213882446289,45.05617904663086
27,true_pressure_delta,36,32.081723584069145,31.847285270690918,25.249338150024414,41.61052703857422
28,closed_context_delta,36,38.31627480189005,36.693803787231445,31.618200302124023,51.6324462890625
28,distractor_delta,36,21.38843191994561,20.574960708618164,18.704336166381836,31.316070556640625
28,emotional_pressure_delta,36,41.23643154568143,40.69245147705078,35.822269439697266,51.00442123413086
28,false_pressure_delta,36,32.012236542171905,30.201741218566895,25.67557144165039,49.60403823852539
