label_scheme,layer,layer_bucket,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
strict,20,middle,122,36,0.9073761261261262,0.9394707207207207,0.905884909897346,0.8865979381443299,0.8775510204081632,0.8958333333333334,"{""tn"": 68, ""fp"": 6, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,21,middle,122,36,0.8902027027027026,0.9577702702702703,0.9310365384271282,0.865979381443299,0.8571428571428571,0.875,"{""tn"": 67, ""fp"": 7, ""fn"": 6, ""tp"": 42}",0.5,1.0
strict,22,middle,122,36,0.879786036036036,0.9479166666666667,0.9302271500882424,0.8541666666666666,0.8541666666666666,0.8541666666666666,"{""tn"": 67, ""fp"": 7, ""fn"": 7, ""tp"": 41}",0.5,1.0
strict,23,middle,122,36,0.914132882882883,0.9535472972972974,0.9457196065507081,0.8958333333333334,0.8958333333333334,0.8958333333333334,"{""tn"": 69, ""fp"": 5, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,24,late,122,36,0.9208896396396397,0.9572072072072073,0.9524301840212466,0.9052631578947369,0.9148936170212766,0.8958333333333334,"{""tn"": 70, ""fp"": 4, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,25,late,122,36,0.9276463963963963,0.9704391891891893,0.9636252581650833,0.9148936170212766,0.9347826086956522,0.8958333333333334,"{""tn"": 71, ""fp"": 3, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,26,late,122,36,0.9276463963963963,0.9729729729729729,0.9674260059093316,0.9148936170212766,0.9347826086956522,0.8958333333333334,"{""tn"": 71, ""fp"": 3, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,27,late,122,36,0.914132882882883,0.9763513513513513,0.971906542737797,0.8958333333333334,0.8958333333333334,0.8958333333333334,"{""tn"": 69, ""fp"": 5, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,28,late,122,36,0.9208896396396397,0.976632882882883,0.9713339051194094,0.9052631578947369,0.9148936170212766,0.8958333333333334,"{""tn"": 70, ""fp"": 4, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,29,late,122,36,0.9208896396396397,0.9794481981981982,0.9755010999691848,0.9052631578947369,0.9148936170212766,0.8958333333333334,"{""tn"": 70, ""fp"": 4, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,30,late,122,36,0.914132882882883,0.9786036036036035,0.9754926284157874,0.8958333333333334,0.8958333333333334,0.8958333333333334,"{""tn"": 69, ""fp"": 5, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,31,late,122,36,0.9276463963963963,0.9802927927927928,0.9785699261289521,0.9148936170212766,0.9347826086956522,0.8958333333333334,"{""tn"": 71, ""fp"": 3, ""fn"": 5, ""tp"": 43}",0.5,1.0
strict,32,late,122,36,0.9724099099099099,0.9870495495495495,0.9863985176659632,0.968421052631579,0.9787234042553191,0.9583333333333334,"{""tn"": 73, ""fp"": 1, ""fn"": 2, ""tp"": 46}",0.5,1.0
strict,33,late,122,36,0.9552364864864865,0.9853603603603603,0.9850123299757081,0.9473684210526315,0.9574468085106383,0.9375,"{""tn"": 72, ""fp"": 2, ""fn"": 3, ""tp"": 45}",0.5,1.0
strict,34,late,122,36,0.9515765765765766,0.9856418918918919,0.9845051832248859,0.946236559139785,0.9777777777777777,0.9166666666666666,"{""tn"": 73, ""fp"": 1, ""fn"": 4, ""tp"": 44}",0.5,1.0
strict,35,late,122,36,0.9552364864864865,0.9890202702702703,0.9859547694086012,0.9473684210526315,0.9574468085106383,0.9375,"{""tn"": 72, ""fp"": 2, ""fn"": 3, ""tp"": 45}",0.5,1.0
