task_name,permutation_idx,metric,value,true_value,z_vs_true,notes
task4_pressure_perturb_vs_distractor,14,balanced_acc,0.509375,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,15,balanced_acc,0.509375,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,16,balanced_acc,0.447917,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,17,balanced_acc,0.484375,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,18,balanced_acc,0.495833,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,19,balanced_acc,0.481250,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,20,balanced_acc,0.508333,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,21,balanced_acc,0.497917,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,22,balanced_acc,0.460417,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,23,balanced_acc,0.534375,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,24,balanced_acc,0.492708,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,25,balanced_acc,0.496875,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,26,balanced_acc,0.455208,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,27,balanced_acc,0.489583,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,28,balanced_acc,0.545833,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
task4_pressure_perturb_vs_distractor,29,balanced_acc,0.560417,1.000000,15.7888,"perm_mean=0.4947, perm_std=0.0320, p_est<=0.0323"
